,Symbol,Market,Name
0,060310,KOSDAQ,3S
1,095570,KOSPI,AJ네트웍스
2,006840,KOSPI,AK홀딩스
3,054620,KOSDAQ,APS홀딩스
4,265520,KOSDAQ,AP시스템
5,211270,KOSDAQ,AP위성
6,152100,KOSPI,ARIRANG 200
7,295820,KOSPI,ARIRANG 200동일가중
8,253150,KOSPI,ARIRANG 200선물레버리지
9,253160,KOSPI,ARIRANG 200선물인버스2X
10,395750,KOSPI,ARIRANG ESG가치주액티브
11,395760,KOSPI,ARIRANG ESG성장주액티브
12,278420,KOSPI,ARIRANG ESG우수기업
13,429740,KOSPI,ARIRANG Fn K리츠
14,436180,KOSPI,ARIRANG K-유니콘투자기업액티브
15,292750,KOSPI,ARIRANG KRX300
16,309210,KOSPI,ARIRANG KRX300헬스케어
17,333940,KOSPI,ARIRANG KS로우볼가중TR
18,333950,KOSPI,ARIRANG KS로우사이즈가중TR
19,333960,KOSPI,ARIRANG KS모멘텀가중TR
20,333970,KOSPI,ARIRANG KS밸류가중TR
21,333980,KOSPI,ARIRANG KS퀄리티가중TR
22,269530,KOSPI,ARIRANG S&P글로벌인프라
23,433850,KOSPI,ARIRANG TDF2030액티브
24,433860,KOSPI,ARIRANG TDF2040액티브
25,433870,KOSPI,ARIRANG TDF2050액티브
26,433880,KOSPI,ARIRANG TDF2060액티브
27,421320,KOSPI,ARIRANG iSelect우주항공&UAM
28,251590,KOSPI,ARIRANG 고배당저변동50
29,161510,KOSPI,ARIRANG 고배당주
30,251600,KOSPI,ARIRANG 고배당주채권혼합
31,289670,KOSPI,ARIRANG 국채선물10년
32,298340,KOSPI,ARIRANG 국채선물3년
33,189400,KOSPI,ARIRANG 글로벌MSCI(합성 H)
34,419650,KOSPI,ARIRANG 글로벌수소&차세대연료전지MV
35,415920,KOSPI,ARIRANG 글로벌희토류전략자원기업MV
36,278620,KOSPI,ARIRANG 단기채권액티브
37,429760,KOSPI,ARIRANG 미국S&P500
38,269540,KOSPI,ARIRANG 미국S&P500(H)
39,287180,KOSPI,ARIRANG 미국나스닥테크
40,213630,KOSPI,ARIRANG 미국다우존스고배당주(합성 H)
41,332610,KOSPI,ARIRANG 미국단기우량회사채
42,426410,KOSPI,ARIRANG 미국대체투자Top10MV
43,332620,KOSPI,ARIRANG 미국장기우량회사채
44,195970,KOSPI,ARIRANG 선진국MSCI(합성 H)
45,238670,KOSPI,ARIRANG 스마트베타Quality채권혼합
46,195980,KOSPI,ARIRANG 신흥국MSCI(합성 H)
47,373530,KOSPI,ARIRANG 신흥국MSCI인버스(합성 H)
48,256450,KOSPI,ARIRANG 심천차이넥스트(합성)
49,239660,KOSPI,ARIRANG 우량회사채50 1년
50,280920,KOSPI,ARIRANG 주도업종
51,266550,KOSPI,ARIRANG 중형주저변동50
52,301400,KOSPI,ARIRANG 코스닥150
53,301410,KOSPI,ARIRANG 코스닥150선물인버스
54,227830,KOSPI,ARIRANG 코스피
55,122090,KOSPI,ARIRANG 코스피50
56,328370,KOSPI,ARIRANG 코스피TR
57,301440,KOSPI,ARIRANG 코스피중형주
58,376250,KOSPI,ARIRANG 탄소효율그린뉴딜
59,027410,KOSPI,BGF
60,282330,KOSPI,BGF리테일
61,032790,KOSDAQ,BNGT
62,138930,KOSPI,BNK금융지주
63,001460,KOSPI,BYC
64,001465,KOSPI,BYC우
65,013720,KOSDAQ,CBI
66,001040,KOSPI,CJ
67,079160,KOSPI,CJ CGV
68,035760,KOSDAQ,CJ ENM
69,311690,KOSDAQ,CJ 바이오사이언스
70,00104K,KOSPI,CJ4우(전환)
71,000120,KOSPI,CJ대한통운
72,011150,KOSPI,CJ씨푸드
73,011155,KOSPI,CJ씨푸드1우
74,001045,KOSPI,CJ우
75,097950,KOSPI,CJ제일제당
76,097955,KOSPI,CJ제일제당 우
77,051500,KOSDAQ,CJ프레시웨이
78,058820,KOSDAQ,CMG제약
79,023460,KOSDAQ,CNH
80,056730,KOSDAQ,CNT85
81,065770,KOSDAQ,CS
82,083660,KOSDAQ,CSA 코스믹
83,000590,KOSPI,CS홀딩스
84,012030,KOSPI,DB
85,404950,KOSDAQ,DB금융스팩10호
86,367340,KOSDAQ,DB금융스팩8호
87,367360,KOSDAQ,DB금융스팩9호
88,016610,KOSPI,DB금융투자
89,005830,KOSPI,DB손해보험
90,000990,KOSPI,DB하이텍
91,000995,KOSPI,DB하이텍1우
92,139130,KOSPI,DGB금융지주
93,001530,KOSPI,DI동일
94,000210,KOSPI,DL
95,001880,KOSPI,DL건설
96,000215,KOSPI,DL우
97,375500,KOSPI,DL이앤씨
98,37550L,KOSPI,DL이앤씨2우(전환)
99,37550K,KOSPI,DL이앤씨우
100,068790,KOSDAQ,DMS
101,007340,KOSPI,DN오토모티브
102,004840,KOSPI,DRB동일
103,241520,KOSDAQ,DSC인베스트먼트
104,155660,KOSPI,DSR
105,069730,KOSPI,DSR제강
106,017940,KOSPI,E1
107,245620,KOSDAQ,EDGC
108,037370,KOSDAQ,EG
109,278990,KONEX,EMB
110,365550,KOSPI,ESR켄달스퀘어리츠
111,050120,KOSDAQ,ES큐브
112,084180,KOSDAQ,EV수성
113,383220,KOSPI,F&F
114,007700,KOSPI,F&F홀딩스
115,285690,KOSPI,FOCUS ESG리더스
116,292730,KOSPI,FOCUS KRX300
117,402520,KOSPI,FOCUS 혁신기업액티브
118,214270,KOSDAQ,FSN
119,73501BB4,KOSPI,GB국민참여정책형뉴딜A
120,73502BB4,KOSPI,GB국민참여정책형뉴딜C
121,73503BB4,KOSPI,GB국민참여정책형뉴딜I
122,73501BBC,KOSPI,GB뉴딜기업2호A
123,73502BBC,KOSPI,GB뉴딜기업2호Ae
124,73501BA2,KOSPI,GB중소성장기업A
125,73502BA2,KOSPI,GB중소성장기업C
126,73503BA2,KOSPI,GB중소성장기업I
127,130500,KOSDAQ,GH신소재
128,114090,KOSPI,GKL
129,900290,KOSDAQ,GRT
130,078930,KOSPI,GS
131,083450,KOSDAQ,GST
132,006360,KOSPI,GS건설
133,001250,KOSPI,GS글로벌
134,007070,KOSPI,GS리테일
135,078935,KOSPI,GS우
136,293180,KOSPI,HANARO 200
137,407310,KOSPI,HANARO 200 TOP10
138,332930,KOSPI,HANARO 200TR
139,304780,KOSPI,HANARO 200선물레버리지
140,306520,KOSPI,HANARO 200선물인버스
141,395290,KOSPI,HANARO Fn K-POP&미디어
142,395280,KOSPI,HANARO Fn K-게임
143,368190,KOSPI,HANARO Fn K-뉴딜디지털플러스
144,402460,KOSPI,HANARO Fn K-메타버스MZ
145,395270,KOSPI,HANARO Fn K-반도체
146,367740,KOSPI,HANARO Fn5G산업
147,407300,KOSPI,HANARO Fn골프테마
148,381560,KOSPI,HANARO Fn전기&수소차
149,381570,KOSPI,HANARO Fn친환경에너지
150,346000,KOSPI,HANARO KAP초장기국고채
151,304760,KOSPI,HANARO KRX300
152,404470,KOSPI,HANARO KRX기후변화솔루션
153,332940,KOSPI,HANARO MSCI Korea TR
154,322400,KOSPI,HANARO e커머스
155,322410,KOSPI,HANARO 고배당
156,354350,KOSPI,HANARO 글로벌럭셔리S&P(합성)
157,432850,KOSPI,HANARO 글로벌백신치료제MSCI
158,424460,KOSPI,HANARO 글로벌워터MSCI(합성)
159,401590,KOSPI,HANARO 글로벌탄소배출권선물ICE(합성)
160,314700,KOSPI,HANARO 농업융복합산업
161,390950,KOSPI,HANARO 단기채권액티브
162,432840,KOSPI,HANARO 미국S&P500
163,419170,KOSPI,HANARO 미국메타버스iSelect
164,434730,KOSPI,HANARO 원자력iSelect
165,304770,KOSPI,HANARO 코스닥150
166,306530,KOSPI,HANARO 코스닥150선물레버리지
167,375760,KOSPI,HANARO 탄소효율그린뉴딜
168,297890,KOSDAQ,HB솔루션
169,078150,KOSDAQ,HB테크놀러지
170,012630,KOSPI,HDC
171,039570,KOSPI,HDC랩스
172,089470,KOSPI,HDC현대EP
173,294870,KOSPI,HDC현대산업개발
174,267250,KOSPI,HD현대
175,097230,KOSPI,HJ중공업
176,215620,KOSPI,HK S&P코리아로우볼
177,391670,KOSPI,HK 베스트일레븐액티브
178,391680,KOSPI,HK 하이볼액티브
179,195940,KOSDAQ,HK이노엔
180,028300,KOSDAQ,HLB
181,003580,KOSPI,HLB글로벌
182,343090,KONEX,HLB사이언스
183,067630,KOSDAQ,HLB생명과학
184,047920,KOSDAQ,HLB제약
185,115450,KOSDAQ,HLB테라퓨틱스
186,011200,KOSPI,HMM
187,403870,KOSDAQ,HPSP
188,036640,KOSDAQ,HRS
189,082740,KOSPI,HSD엔진
190,75801BB4,KOSPI,IBK 국민참여정책형뉴딜 혼합자산 A
191,75802BB4,KOSPI,IBK 국민참여정책형뉴딜 혼합자산 C
192,335870,KOSDAQ,IBKS제12호스팩
193,351340,KOSDAQ,IBKS제13호스팩
194,388790,KOSDAQ,IBKS제16호스팩
195,405350,KOSDAQ,IBKS제17호스팩
196,424760,KOSDAQ,IBKS제18호스팩
197,75801BBC,KOSPI,IBK국민참여정책형뉴딜혼합자산2호A
198,75802BBC,KOSPI,IBK국민참여정책형뉴딜혼합자산2호C
199,003560,KOSPI,IHQ
200,095340,KOSDAQ,ISC
201,099520,KOSDAQ,ITX-AI
202,175330,KOSPI,JB금융지주
203,950170,KOSDAQ,JTC
204,234080,KOSPI,JW생명과학
205,067290,KOSDAQ,JW신약
206,001060,KOSPI,JW중외제약
207,001067,KOSPI,JW중외제약2우B
208,001065,KOSPI,JW중외제약우
209,096760,KOSPI,JW홀딩스
210,035900,KOSDAQ,JYP Ent.
211,580011,KOSPI,KB FnGuide 언택트 ETN
212,580030,KOSPI,KB KOSDAQ 150 선물 ETN
213,580028,KOSPI,KB KOSPI 200 선물 ETN
214,580013,KOSPI,KB KRX ESG Eco ETN
215,580036,KOSPI,KB S&P 레버리지 WTI원유 선물 ETN(H)
216,580035,KOSPI,KB S&P 유럽탄소배출권 선물 ETN(H)
217,580037,KOSPI,KB S&P 인버스 2X WTI원유 선물 ETN
218,580010,KOSPI,KB Wise 분할매매 ETN
219,580034,KOSPI,KB 레버리지 FANG 플러스 ETN(H)
220,580025,KOSPI,KB 레버리지 KRX 2차전지 K-뉴딜 ETN
221,580024,KOSPI,KB 레버리지 KRX BBIG K-뉴딜 ETN
222,580038,KOSPI,KB 레버리지 KRX 리츠 TOP 10 ETN
223,580016,KOSPI,KB 레버리지 S&P 500 선물 ETN(H)
224,580032,KOSPI,KB 레버리지 구리 선물 ETN(H)
225,580022,KOSPI,KB 레버리지 금 선물 ETN(H)
226,580015,KOSPI,KB 레버리지 나스닥 100 ETN
